ID,SCL_Initial,Age,Sex,State,SCL_Mean,Growth,Year,,,,
39,74.3,16.75,male,VA,77,5.4,2000,,,,
39,79.7,17.75,male,VA,81.9,4.4,2001,,,,
39,84.1,18.75,male,VA,84.9,1.6,2002,,,,
39,85.8,19.75,male,VA,85.8,0.2,2003,,,,
39,85.9,20.75,male,VA,86.1,0.4,2004,,,,
39,86.3,21.75,male,, , ,2005,,,,
40,36.5,5.75,female,VA,38.8,4.6,1997,,,,
40,41.1,6.75,female,VA,43.1,4.1,1998,,,,
40,45.2,7.75,female,VA,47.1,3.9,1999,,,,
40,49,8.75,female,VA,52.3,6.4,2000,,,,
40,55.5,9.75,female,VA,58.1,5.3,2001,,,,
40,60.8,10.75,female,VA,62.8,4,2002,,,,
41,39.8,5.75,female,, , ,1991,,,,
41,60.4,9.75,female,VA,62.2,3.5,1995,,,,
41,63.9,10.75,female,VA,64.4,0.9,1996,,,,
41,64.8,11.75,female,VA,65.2,0.7,1997,,,,
41,65.6,12.75,female,VA,68.8,6.5,1998,,,,
41,72.1,13.75,female,VA,73.5,2.7,1999,,,,
41,74.8,14.75,female,VA,75.9,2.1,2000,,,,
41,77,15.75,female,VA,78.4,2.8,2001,,,,
41,79.8,16.75,female,, , ,2002,,,,
42,39.2,5.75,male,VA,40.4,2.5,1990,,,,
42,41.7,6.75,male,VA,43.5,3.6,1991,,,,
42,45.3,7.75,male,, , ,1992,,,,
42,51.9,9.75,male,VA,52.6,1.4,1994,,,,
42,52.6,10.75,male,, , ,1995,,,,
42,69.1,12.75,male,VA,70.7,3.3,1997,,,,
42,72.4,13.75,male,VA,73.8,2.9,1998,,,,
42,75.3,14.75,male,VA,75.8,1.1,1999,,,,
42,76.3,15.75,male,VA,76.9,1.1,2000,,,,
42,77.4,16.75,male,VA,78,1.1,2001,,,,
42,78.5,17.75,male,VA,80.6,4.1,2002,,,,
42,82.6,18.75,male,VA,83.4,1.7,2003,,,,
42,84.3,19.75,male,VA, , ,2004,,,,
43,60.1,15.75,male,VA,60.6,1.1,1993,,,,
43,61.2,16.75,male,VA,61.6,0.8,1994,,,,
43,62,17.75,male,VA,63.3,2.7,1995,,,,
43,64.7,18.75,male,VA,66.9,4.5,1996,,,,
43,69.2,19.75,male,VA,71.1,3.9,1997,,,,
43,73.1,20.75,male,VA,75.1,4,1998,,,,
43,77.1,21.75,male,VA,78,1.9,1999,,,,
43,79,22.75,male,VA,79.7,1.4,2000,,,,
43,80.4,23.75,male,VA,80.9,0.9,2001,,,,
43,81.4,24.75,male,VA,82.6,2.5,2002,,,,
43,83.8,25.75,male,VA,84.6,1.5,2003,,,,
43,85.4,26.75,male,VA, , ,2004,,,,
44,67.7,19.75,male,VA,69,2.5,1999,,,,
44,70.2,20.75,male,VA,71.2,2,2000,,,,
44,72.2,21.75,male,VA,73.3,2.1,2001,,,,
44,74.3,22.75,male,VA,74.9,1.2,2002,,,,
44,75.5,23.75,male,VA,75.6,0.1,2003,,,,
44,75.7,24.75,male,VA,76.9,2.4,2004,,,,
44,78.1,25.75,male,VA, , ,2005,,,,
45,36.6,5.75,male,NC,37.8,2.6,1996,,,,
45,39.1,6.75,male,NC,39.9,1.5,1997,,,,
45,40.7,7.75,male,NC,42.6,3.9,1998,,,,
45,44.5,8.75,male,NC,46.8,4.6,1999,,,,
45,49.2,9.75,male,NC,51.3,4.3,2000,,,,
45,53.5,10.75,male,NC,56,5,2001,,,,
46,43.9,7.75,female,VA,44.5,1.3,1997,,,,
46,45.2,8.75,female,VA,45.4,0.3,1998,,,,
46,45.5,9.75,female,VA,46.8,2.6,1999,,,,
46,48.1,10.75,female,VA,49.8,3.4,2000,,,,
46,51.5,11.75,female,VA,53.3,3.6,2001,,,,
46,55.1,12.75,female,VA,56,1.8,2002,,,,
46,56.9,13.75,female,VA,59.2,4.5,2003,,,,
46,61.4,14.75,female,VA,62.3,1.8,2004,,,,
47,39.7,5.75,unknown,NC,40.1,0.9,1989,,,,
47,40.6,6.75,unknown,NC,41.4,1.6,1990,,,,
47,42.2,7.75,unknown,NC,43.5,2.6,1991,,,,
47,44.8,8.75,unknown,NC,46.2,2.9,1992,,,,
47,47.7,9.75,unknown,NC,49.7,3.9,1993,,,,
47,51.6,10.75,unknown,NC,52.9,2.5,1994,,,,
47,54.1,11.75,unknown,NC,55,1.8,1995,,,,
47,55.9,12.75,unknown,NC,56.7,1.5,1996,,,,
47,57.4,13.75,unknown,NC,58.4,1.9,1997,,,,
48,38.1,5.75,male,NC,39.1,2.1,1993,,,,
48,40.1,6.75,male,NC,42.7,5.2,1994,,,,
48,45.3,7.75,male,NC,46.5,2.4,1995,,,,
48,47.7,8.75,male,NC,50.5,5.6,1996,,,,
48,53.3,9.75,male,NC,55.2,3.8,1997,,,,
49,31,3.75,unknown,VA,31.6,1.2,1992,,,,
49,32.2,4.75,unknown,VA,32.6,0.7,1993,,,,
49,33,5.75,unknown,VA,33.6,1.2,1994,,,,
49,34.2,6.75,unknown,VA,35.6,2.8,1995,,,,
49,37,7.75,unknown,VA,38,2,1996,,,,
49,39,8.75,unknown,VA,40.4,2.8,1997,,,,
